loss_label,param,pearson_abs,is_inert,fixed_value,reason
circle_k3,margin,0.09846674090106511,True,0.2344957327335775,|r|<0.3
circle_k3,scale,0.6659374440138369,False,,active
contrastive_k3,margin,0.9541710316986041,False,,active
contrastive_k3,scale,,False,,nunique<2
subcenter_arcface_k1,margin,0.44698984604353637,False,,active
subcenter_arcface_k1,scale,,False,,nunique<2
subcenter_arcface_k2,margin,0.5548134718725154,False,,active
subcenter_arcface_k2,scale,,False,,nunique<2
subcenter_arcface_k3,margin,0.06829290249465565,True,0.3246038406577605,|r|<0.3
subcenter_arcface_k3,scale,,False,,nunique<2
subcenter_arcface_k4,margin,0.4817083530988668,False,,active
subcenter_arcface_k4,scale,,False,,nunique<2
subcenter_cosface_k1,margin,0.39583753828434703,False,,active
subcenter_cosface_k1,scale,,False,,nunique<2
subcenter_cosface_k2,margin,0.3127044029915639,False,,active
subcenter_cosface_k2,scale,,False,,nunique<2
subcenter_cosface_k3,margin,0.30192538341673997,False,,active
subcenter_cosface_k3,scale,,False,,nunique<2
subcenter_cosface_k4,margin,,False,,nunique<2
subcenter_cosface_k4,scale,,False,,nunique<2
triplet_k3,margin,0.004467327080647321,True,0.5154053655996049,|r|<0.3
triplet_k3,scale,,False,,nunique<2
